race_date,race_id,discipline,official,v44_top7,fund_top7,v51_top7,v51_selection_set,v51_top3,hits,trio,quarte,quinte,winner,winner_top1,winner_top2,winner_top3,winner_top7,consensus_count,period
2026-08-05,R1C5_2026-08-05,ATTELE_VOLTE,5-3-12-4-8,6-3-14-4-5-12-8,5-4-14-6-8-3-7,6-5-3-14-4-8-12,14-4-5-3-6-8-12,6-5-3,5,True,True,True,5,False,True,True,True,6,DEV30
2026-08-06,R1C8_2026-08-06,ATTELE_VOLTE,11-5-4-1-2,14-5-7-3-9-11-4,10-11-3-7-4-14-5,5-14-11-9-7-4-3,11-14-5-3-4-7-9,5-14-11,3,True,False,False,11,False,False,True,True,6,DEV30
2026-08-07,R1C4_2026-08-07,ATTELE_VOLTE,7-15-14-3-8,9-15-7-14-6-12-1,15-9-1-12-2-8-6,12-9-15-7-6-1-14,12-9-15-1-6-7-14,12-9-15,3,True,False,False,7,False,False,False,True,5,DEV30
2026-08-08,R1C3_2026-08-08,PLAT,3-9-12-15-6,4-5-13-1-6-8-9,9-4-13-7-15-1-2,6-1-8-13-4-9-15,9-4-13-1-6-15-8,6-1-8,3,False,False,False,3,False,False,False,False,4,DEV30
2026-08-09,R1C3_2026-08-09,PLAT,11-13-18-3-1,3-11-6-10-4-7-9,2-6-9-3-4-1-11,11-3-6-4-10-9-7,3-6-4-9-11-10-7,11-3-6,2,False,False,False,11,True,True,True,True,5,DEV30
2026-08-10,R1C5_2026-08-10,PLAT,4-11-2-8-16,2-11-5-4-12-6-8,11-5-2-4-6-3-16,11-2-5-6-4-12-8,11-5-2-4-6-8-12,11-2-5,4,True,True,False,4,False,False,False,True,5,HOLDOUT28
2026-08-11,R1C8_2026-08-11,PLAT,3-10-4-7-8,3-4-7-9-2-10-1,4-8-16-7-1-2-3,3-10-9-4-7-2-1,4-7-3-1-2-10-9,3-10-9,4,True,True,False,3,True,True,True,True,5,HOLDOUT28
2026-08-12,R1C8_2026-08-12,ATTELE_VOLTE,14-4-3-7-13,14-8-12-10-2-5-1,2-5-14-8-1-9-6,14-8-5-2-10-12-1,14-2-8-5-1-12-10,14-8-5,1,False,False,False,14,True,True,True,True,5,HOLDOUT28
2026-08-13,R1C8_2026-08-13,PLAT,3-6-13-1-16,15-10-8-2-6-3-13,3-8-4-10-11-13-2,15-10-2-8-3-6-13,10-8-3-2-13-15-6,15-10-2,3,True,False,False,3,False,False,False,True,5,HOLDOUT28
2026-08-14,R1C4_2026-08-14,ATTELE_AUTOSTART,10-4-9-1-13,10-13-5-9-3-4-12,12-10-13-9-3-4-6,13-10-4-3-5-12-9,13-10-9-3-12-4-5,13-10-4,4,True,False,False,10,False,True,True,True,6,HOLDOUT28
2026-08-15,R1C3_2026-08-15,PLAT,13-11-7-16-6,9-6-10-2-7-16-8,9-8-6-2-1-7-4,9-16-6-7-10-8-2,9-6-7-8-2-16-10,9-16-6,3,False,False,False,13,False,False,False,False,5,HOLDOUT28
2026-08-16,R1C3_2026-08-16,PLAT,8-14-11-5-4,8-6-11-10-12-3-1,1-6-8-11-2-10-12,8-10-6-11-12-1-3,8-11-6-12-10-1-3,8-10-6,2,False,False,False,8,True,True,True,True,6,HOLDOUT28
2026-08-17,R1C8_2026-08-17,HAIES,4-2-12-13-15,4-1-11-12-3-8-5,5-16-4-12-1-8-15,11-4-3-1-12-8-5,12-1-4-5-8-11-3,11-4-3,2,False,False,False,4,False,True,True,True,5,HOLDOUT28
2026-08-18,R1C8_2026-08-18,PLAT,2-9-13-14-15,9-5-15-10-7-16-4,5-9-4-3-11-6-8,16-9-10-7-5-15-4,9-5-4-16-10-7-15,16-9-10,2,False,False,False,2,False,False,False,False,3,HOLDOUT28
2026-08-19,R1C8_2026-08-19,ATTELE_VOLTE,4-10-12-11-7,14-13-4-12-10-15-11,4-10-13-14-15-2-7,14-13-10-4-15-12-11,13-10-14-4-15-12-11,14-13-10,4,True,True,False,4,False,False,False,True,5,HOLDOUT28
2026-08-20,R1C8_2026-08-20,PLAT,11-15-6-9-3,8-2-7-3-9-6-10,6-8-2-9-7-10-16,8-3-7-10-9-6-2,10-8-9-2-7-6-3,8-3-7,3,False,False,False,11,False,False,False,False,6,HOLDOUT28
